income,loan_amount,credit_score,term,employment_years,age,Class
51202,14507,728,24,8,40,0
61183,20854,758,24,6,45,0
51106,21712,749,12,6,42,0
19102,44345,469,36,5,25,1
47201,37841,525,60,3,39,1
66266,11001,636,12,7,32,0
56871,16442,697,36,5,43,0
59098,11105,662,24,8,25,0
56680,12911,572,36,17,31,0
49338,8825,753,60,17,28,0
75037,12645,774,12,12,38,0
52040,20604,729,48,17,36,0
66154,17039,660,24,9,34,0
53723,11511,705,48,10,34,0
65880,24670,665,12,8,38,0
25078,46479,389,24,9,18,1
52462,12985,691,48,13,36,0
67965,14032,665,36,13,27,0
55414,14637,678,12,3,27,0
49255,18447,731,36,3,41,0
15305,40442,554,36,5,36,1
60568,13663,651,60,19,38,0
71798,17385,676,36,2,39,0
45566,15810,818,36,13,47,0
22598,34688,521,48,3,18,1
57594,1142,719,60,2,36,0
81135,14041,722,12,14,44,0
26748,42104,464,12,6,29,1
19358,37784,463,48,13,25,1
23464,41628,481,24,16,30,1
72311,8723,715,24,8,19,0
24940,49354,523,36,15,28,1
70997,17982,678,24,5,51,0
70609,25688,722,12,6,36,0
61000,22735,682,36,14,40,0
44970,22021,730,12,15,28,0
66827,14254,788,24,16,29,0
55340,14532,743,36,8,25,0
51135,12072,675,36,1,48,0
10000,43279,502,60,5,34,1
57703,8739,684,12,11,43,0
45281,18026,760,60,6,30,0
48783,11259,770,60,19,32,0
16146,36537,527,36,16,31,1
65296,23009,774,24,7,39,0
60472,14015,673,60,19,56,0
52205,16668,761,24,16,48,0
64245,19508,684,12,7,33,0
10000,39085,464,12,15,18,1
56149,20193,616,48,2,25,0
42126,14973,706,36,11,40,0
61183,10073,652,48,13,36,0
68067,16825,724,12,11,40,0
26385,44035,574,60,10,20,1
65647,13865,665,60,19,28,0
10000,38212,480,24,0,26,1
57222,12774,742,48,0,31,0
46075,16930,674,24,10,44,0
45163,19134,697,24,15,30,0
61518,19590,639,36,1,35,0
20786,36966,529,60,7,19,1
17182,44245,524,60,17,28,1
52141,14003,605,48,5,25,0
66093,14214,825,36,13,39,0
54793,13498,738,48,2,35,0
61631,3680,722,24,0,39,0
31492,43401,511,24,3,30,1
47473,11461,745,48,7,38,0
55652,19723,794,36,0,28,0
58029,18590,773,60,1,42,0
72922,14445,697,36,2,36,0
55144,21596,656,12,9,27,0
61700,8871,684,36,16,28,0
57248,22324,708,12,2,39,0
22191,47689,510,48,7,22,1
67070,12464,640,60,14,34,0
25725,41700,518,12,16,18,1
54908,5927,650,60,10,22,0
58724,14824,704,12,9,44,0
67822,27884,831,48,2,19,0
59369,13941,642,48,16,37,0
67687,12653,688,48,11,30,0
10000,39261,450,36,16,21,1
63689,12012,715,48,1,38,0
25228,40876,608,36,4,18,1
72132,21431,743,24,17,26,0
10000,44462,507,60,13,18,1
54834,17337,727,60,5,31,0
67312,23751,586,36,4,33,0
53862,21010,694,48,12,23,0
68422,15911,696,60,15,35,0
46934,21791,661,12,3,38,0
44524,23008,671,12,9,42,0
23072,36019,452,12,10,18,1
58405,19714,736,48,8,53,0
10000,41153,458,36,3,22,1
59249,11415,723,48,1,41,0
10000,37741,551,24,14,18,1
51586,18203,667,36,18,28,0
12696,38882,479,12,13,20,1
71317,9177,750,60,16,34,0
48019,17605,740,12,4,26,0
31593,42310,541,48,3,19,1
68753,7899,712,48,7,21,0
56950,20859,789,60,14,41,0
10000,38953,564,24,15,23,1
15731,42959,537,48,14,24,1
52583,21862,646,48,4,41,0
70426,14679,640,24,7,47,0
25296,44225,494,60,18,20,1
51892,13889,721,36,18,41,0
61465,15262,684,36,1,27,0
22685,43343,402,48,2,18,1
53633,17631,777,24,14,34,0
44479,17200,692,60,6,40,0
62173,15864,704,12,5,39,0
62673,9371,685,36,19,53,0
43340,14023,639,48,6,37,0
16003,41443,527,24,1,31,1
57377,18788,610,60,10,32,0
22237,33369,512,48,15,18,1
75536,5996,598,12,6,33,0
56967,23442,700,12,17,44,0
10350,27348,512,48,14,38,1
10103,34095,458,48,13,25,1
49131,14142,673,36,2,40,0
71636,5341,734,36,9,41,0
48399,12672,698,36,5,34,0
67731,20386,757,60,12,35,0
29325,35199,420,48,9,20,1
54996,13120,614,36,9,34,0
67692,16636,656,36,1,32,0
68789,13686,724,12,15,38,0
47148,9879,680,36,19,27,0
22969,50000,455,60,2,27,1
10000,31961,503,48,2,34,1
20760,35978,485,24,15,39,1
76880,19572,696,48,6,38,0
22419,36415,435,12,15,29,1
64205,10877,701,48,13,45,0
54607,14617,738,12,10,39,0
45581,43010,452,24,3,30,1
43454,4033,566,36,2,40,0
60611,10768,713,12,8,25,0
10000,40458,454,24,1,36,1
59478,21268,650,24,13,30,0
64251,18443,655,60,8,43,0
10216,43953,458,36,15,38,1
10000,48425,567,24,17,30,1
49723,17240,667,36,7,33,0
50635,20216,688,60,16,38,0
10000,35907,487,12,10,28,1
59290,2781,740,36,4,21,0
67734,19173,746,12,11,35,0
22544,38481,625,36,11,32,1
34799,43771,489,60,12,20,1
77483,16924,720,60,5,48,0
59152,16940,629,48,0,51,0
55752,15865,776,24,8,33,0
51596,14194,661,60,18,37,0
19758,38411,395,48,18,23,1
58001,15396,702,60,13,34,0
39921,8798,800,60,10,31,0
54574,6452,696,12,11,35,0
27589,36516,422,48,6,27,1
10000,36782,413,60,1,18,1
10000,25298,495,36,10,30,1
62392,3770,700,36,14,18,0
12432,43752,542,60,16,29,1
60514,17307,569,60,4,41,0
52415,10195,831,60,6,40,0
45637,5207,691,24,1,48,0
56021,14711,647,24,8,42,0
25883,36239,489,24,14,25,1
46942,13539,721,48,12,35,0
60584,25947,651,36,19,50,0
63751,9791,711,12,1,33,0
62071,13631,702,24,14,29,0
55447,18263,772,24,13,31,0
79665,8545,729,12,11,37,0
10000,33717,396,12,2,18,1
75752,16656,748,36,11,18,0
77970,18542,722,36,7,21,0
68184,15957,645,60,14,31,0
45823,8925,710,24,11,32,0
56314,5992,669,36,1,39,0
67517,18507,612,48,11,36,0
77397,5279,746,60,16,36,0
60880,20479,690,36,10,44,0
35511,36061,542,24,5,22,1
10000,47266,572,48,7,18,1
62433,14300,715,12,9,27,0
15128,41066,431,36,14,28,1
57190,14065,689,12,6,34,0
78441,17859,724,12,2,33,0
55906,14830,671,36,3,33,0
23323,30994,472,48,12,25,1
58554,19081,643,60,7,39,0
10000,43659,470,12,14,18,1
10000,42565,474,24,6,25,1
31692,36749,404,36,6,19,1
16908,50000,525,48,14,23,1
15881,35903,498,12,8,18,1
73661,11664,706,12,2,35,0
25524,33438,421,24,18,33,1
55740,14215,732,60,2,31,0
57605,18174,795,24,5,45,0
28384,35366,489,24,0,18,1
68289,8918,680,24,10,37,0
45896,17335,708,48,18,32,0
56895,12462,662,12,19,26,0
54185,16682,700,12,6,37,0
66985,20111,686,36,0,37,0
53123,21146,714,60,13,32,0
81600,12664,636,36,19,48,0
51133,8318,739,12,13,36,0
63341,9060,728,12,11,37,0
10000,39116,432,36,14,18,1
17918,30624,570,36,9,18,1
63055,19754,651,48,10,31,0
41221,36729,531,12,0,19,1
53774,15914,782,12,16,42,0
23109,36768,474,36,8,28,1
17753,32322,464,36,16,18,1
50890,18092,731,12,1,22,0
17510,34636,521,48,16,18,1
20970,34639,409,60,15,23,1
79435,16841,752,24,14,32,0
59340,9365,678,36,6,42,0
32460,44936,551,12,19,18,1
64413,12152,757,12,4,41,0
10000,49422,509,48,17,32,1
10000,49791,555,48,10,24,1
24893,46864,561,48,11,29,1
43829,16078,741,60,8,30,0
53690,18108,751,48,4,33,0
61253,16506,754,48,2,30,0
78262,17392,758,60,0,41,0
56181,25912,789,60,19,34,0
50862,14575,578,60,3,41,0
57609,11101,676,36,19,38,0
58617,15254,672,60,17,29,0
10000,42556,518,12,0,24,1
10000,34345,540,60,14,41,1
72905,22276,673,60,3,33,0
62343,13557,671,12,17,18,0
59106,11961,704,48,11,39,0
49200,17376,734,48,5,33,0
49725,18252,811,60,11,34,0
24865,32974,446,12,5,18,1
53478,2858,732,48,2,33,0
68237,12666,697,12,19,31,0
20210,35544,520,60,10,21,1
14183,40217,470,24,17,29,1
50270,15014,664,48,8,29,0
53970,8756,773,12,14,32,0
58981,10365,703,36,6,49,0
57010,22427,744,48,3,37,0
13548,37354,534,36,9,29,1
26329,42043,490,60,0,20,1
52180,9465,681,36,10,23,0
58181,10156,644,60,3,48,0
25742,13295,699,60,5,43,0
66687,9503,729,36,7,25,0
60303,8212,662,48,1,43,0
29962,50000,477,12,1,29,1
69983,12685,733,24,17,37,0
24591,38742,455,60,2,37,1
58058,14538,742,12,16,22,0
44891,15945,796,12,18,38,0
61202,17715,655,12,0,42,0
72446,13262,690,48,16,42,0
15602,48976,521,36,9,30,1
38761,42120,503,60,15,18,1
49107,8429,724,48,16,33,0
17193,30186,524,48,10,18,1
50346,6173,545,36,3,40,0
63254,13259,738,24,19,39,0
10000,44166,502,48,10,24,1
27116,48662,466,12,19,28,1
63741,16149,753,12,9,27,0
19255,38738,406,24,14,18,1
48840,13888,667,24,0,31,0
80203,16104,688,48,5,42,0
68198,16664,666,12,8,35,0
58453,16682,723,36,5,42,0
79981,13711,717,60,10,49,0
76435,17260,693,24,7,30,0
36391,37345,441,36,8,18,1
58092,9877,703,48,1,28,0
71599,14525,697,24,8,23,0
23773,44089,488,36,10,18,1
18328,44380,472,60,9,18,1
67229,11370,728,36,9,26,0
30062,39872,497,36,14,22,1
10000,36762,585,24,5,22,1
66887,13449,786,24,19,29,0
45274,13055,747,48,0,24,0
47425,16061,742,36,0,30,0
49276,14762,757,36,7,36,0
62852,22403,715,48,4,49,0
49791,14179,721,12,5,42,0
80276,12201,667,60,14,28,0
34535,47606,474,60,16,18,1
39522,17428,703,24,13,31,0
63950,13165,629,48,16,22,0
17803,41002,560,60,8,28,1
70446,18827,596,60,3,37,0
51051,10286,764,24,17,37,0
57662,13822,710,36,15,28,0
50286,13812,592,36,4,37,0
61083,9524,767,36,1,41,0
52055,21798,646,60,3,18,0
10000,38702,537,24,4,33,1
16723,44519,520,12,16,36,1
66514,13567,705,48,18,31,0
54415,12866,718,24,10,33,0
58540,16000,668,48,1,34,0
10283,48623,451,48,19,32,1
68686,15353,711,48,10,43,0
19939,37935,425,12,6,29,1
67182,28231,705,12,3,26,0
55469,5985,573,36,2,27,0
51330,22186,832,60,16,34,0
34469,41150,457,48,4,33,1
12949,34346,495,60,14,40,1
31087,45176,542,60,17,22,1
37022,43887,475,12,2,34,1
52580,21950,663,60,13,22,0
58764,17304,690,60,3,25,0
65585,7544,680,48,0,27,0
48822,11955,719,36,14,40,0
63348,13993,663,48,15,26,0
44582,11561,671,12,19,23,0
62297,15199,726,12,4,34,0
54534,14109,727,24,10,36,0
50829,1947,770,24,5,45,0
40754,39313,462,60,6,21,1
56333,19750,748,48,0,26,0
75693,22716,797,60,9,23,0
70342,20553,664,36,12,47,0
67921,14543,734,24,16,37,0
68022,21791,728,60,19,36,0
21708,36753,468,60,18,24,1
20818,37822,536,36,7,30,1
56133,16678,678,36,8,44,0
60792,17981,631,36,13,45,0
60677,14579,729,12,17,33,0
41977,13200,694,60,14,43,0
44483,21720,737,60,15,36,0
60977,22532,700,48,14,30,0
16988,37714,511,48,2,32,1
68509,5410,698,24,7,45,0
25708,45535,559,36,10,18,1
37522,40923,492,48,9,19,1
19809,45002,470,60,5,21,1
14169,44776,471,12,18,20,1
22433,36547,436,36,17,31,1
58996,15652,607,36,7,22,0
27708,46019,468,24,4,20,1
80959,17020,683,24,13,48,0
10000,35887,568,12,15,18,1
20125,45633,508,60,13,18,1
57410,20679,700,36,6,34,0
56572,13826,634,36,12,37,0
54547,12764,752,48,4,41,0
70525,15574,674,12,9,37,0
35499,37981,522,48,15,22,1
52136,19811,801,36,15,40,0
36073,38852,486,60,17,31,1
30571,41508,483,12,19,18,1
19846,37343,515,36,4,30,1
30291,33944,539,36,0,22,1
58313,21175,677,60,4,18,0
59281,17199,674,36,8,21,0
72253,8452,661,60,13,31,0
59079,9955,719,36,7,33,0
58108,16480,761,48,6,25,0
37976,38605,396,60,17,36,1
18143,36263,483,60,12,39,1
13762,44485,489,12,2,20,1
55574,18510,719,24,3,32,0
10000,34951,563,12,7,30,1
50788,36135,557,12,17,18,1
40109,24524,679,48,6,31,0
68125,15630,691,12,19,30,0
74692,14214,676,36,15,18,0
10000,43098,461,48,17,18,1
66675,12141,708,60,9,42,0
54865,11511,585,60,14,35,0
11817,38875,422,36,9,18,1
65974,20153,712,60,19,45,0
53786,8865,742,36,10,30,0
63962,15920,658,36,18,40,0
63254,13795,791,60,3,40,0
63454,12374,709,36,6,42,0
11530,44511,512,36,11,19,1
70932,20560,699,48,17,25,0
15069,40575,375,24,9,24,1
34972,17060,712,24,14,43,0
68896,19121,680,36,14,29,0
10000,42527,438,48,16,18,1
56288,13878,708,12,19,27,0
78351,10609,682,24,3,22,0
60572,13750,737,24,18,40,0
51679,16630,666,48,13,43,0
57331,12684,585,36,11,19,0
67730,5296,674,60,5,36,0
60632,8765,665,48,15,32,0
49337,6245,705,36,12,37,0
55868,19181,550,12,4,29,0
77005,21543,690,12,6,26,0
71789,15400,785,60,8,35,0
73234,16164,703,24,9,21,0
15406,37459,465,12,16,23,1
63037,7127,685,24,3,46,0
65985,15846,737,12,2,41,0
64833,19024,698,24,6,40,0
21818,37247,503,24,3,29,1
47754,12433,657,36,0,30,0
13222,29347,540,36,17,26,1
51860,19216,716,24,13,22,0
68531,13242,647,36,13,33,0
41734,24005,677,24,9,28,0
62882,12623,645,60,2,28,0
43899,21872,616,36,7,38,0
57949,17506,637,12,17,46,0
64472,7280,705,24,12,33,0
56732,13171,726,60,17,27,0
12460,34957,491,48,2,31,1
71554,18996,734,36,17,45,0
74158,3151,612,36,12,37,0
66588,20266,625,24,8,35,0
46636,16414,622,36,13,34,0
65104,13856,713,12,7,38,0
65253,10814,629,24,6,27,0
65931,11074,685,24,3,29,0
62459,18323,697,60,17,30,0
33912,25473,666,48,10,34,0
23613,43971,436,48,12,30,1
56783,12756,771,36,5,19,0
23026,47016,455,12,13,43,1
59290,21243,620,48,16,42,0
57839,20681,727,48,17,31,0
71634,19177,788,36,5,32,0
19192,28765,448,60,15,32,1
68874,12586,715,12,14,39,0
12815,42499,539,12,1,18,1
43000,14780,733,12,15,45,0
10000,41261,443,24,4,21,1
68777,17731,607,12,18,43,0
52027,11426,661,48,18,54,0
64831,23539,681,12,16,32,0
15212,39084,401,12,0,35,1
56388,13824,730,24,3,46,0
59690,11846,652,36,10,33,0
21195,34488,513,60,2,23,1
60329,15218,738,24,19,31,0
61823,11092,661,12,12,33,0
62254,19989,752,24,13,20,0
24363,42413,484,36,3,25,1
52344,16442,716,24,1,43,0
60714,10967,693,48,18,25,0
15411,33707,538,24,12,23,1
48026,7068,766,24,8,51,0
14691,35214,508,24,0,21,1
70542,2883,641,12,6,44,0
13986,39803,564,48,2,30,1
57224,8467,699,36,5,33,0
67074,15438,746,48,3,32,0
60387,20841,701,60,12,33,0
35931,40112,594,48,10,21,1
73687,14296,639,24,10,49,0
44964,16900,749,12,4,26,0
66969,10738,694,48,19,36,0
13483,38484,595,60,15,21,1
57229,14009,775,36,3,34,0
60454,9298,738,60,14,18,0
12515,37286,492,60,7,30,1
69934,17241,729,36,6,40,0
62150,13022,631,12,16,42,0
27533,44660,442,12,11,23,1
21867,35506,391,48,18,18,1
23142,43154,358,48,2,22,1
21252,41934,512,48,6,24,1
25746,15197,702,36,10,47,0
63744,21611,808,24,15,45,0
17301,43352,451,60,5,39,1
47801,15470,763,48,17,44,0
60478,26612,629,60,6,43,0
84772,11114,697,24,5,34,0
44439,15215,652,48,9,19,0
24558,36345,447,48,5,31,1
83644,19244,688,12,19,33,0
24979,38925,440,24,9,29,1
21605,41478,547,48,3,23,1
15557,32231,516,36,12,24,1
13382,44751,509,12,13,19,1
64375,14140,716,48,17,44,0
50559,7315,705,48,6,29,0
18131,38396,450,12,7,32,1
27326,44242,561,60,14,20,1
49768,9810,700,36,8,33,0
49967,10914,681,36,15,34,0
57082,16385,710,12,5,40,0
57149,16535,724,24,2,27,0
64908,9799,628,12,17,39,0
72240,11823,685,12,3,37,0
75467,8055,650,36,5,23,0
62911,15623,699,48,6,27,0
51353,8828,659,60,11,35,0
49663,17894,666,36,6,26,0
56482,14262,602,12,18,36,0
15377,41251,507,36,15,23,1
34969,12209,741,60,18,34,0
70554,16025,668,48,10,37,0
10000,47555,516,36,0,18,1
56367,12170,811,60,13,41,0
67727,10671,748,60,5,33,0
24714,43923,517,36,1,21,1
43935,16228,633,36,17,29,0
42958,10215,645,24,2,27,0
10000,27805,511,48,19,18,1
29640,45357,480,60,2,18,1
20488,41246,505,24,9,25,1
10000,37176,640,36,7,18,1
16149,38981,464,48,7,27,1
65533,29647,666,48,4,42,0
18273,50000,546,60,17,26,1
52498,14097,708,48,2,37,0
67977,9543,715,48,16,36,0
13481,45301,604,24,17,22,1
68461,22062,746,48,10,38,0
66487,23912,730,12,6,27,0
19108,38284,579,48,2,18,1
55005,26767,672,24,4,21,0
23853,49694,405,24,8,24,1
23649,43341,481,12,12,18,1
12968,45962,500,12,1,18,1
48355,16036,706,36,18,39,0
74118,8236,677,36,9,39,0
85697,14298,726,36,6,39,0
28604,35553,511,48,17,18,1
66859,19711,723,24,0,40,0
70617,23835,697,24,15,47,0
60266,11403,735,60,15,28,0
17542,38883,459,48,16,20,1
33800,50000,519,60,1,25,1
58218,3499,642,60,5,29,0
45404,11142,672,12,8,46,0
70170,2399,805,12,8,31,0
27910,40566,475,24,5,18,1
45873,18923,769,60,7,25,0
54267,25149,622,36,16,34,0
58293,15791,654,48,18,31,0
53039,9043,612,36,19,30,0
59388,9363,637,36,2,37,0
10805,38326,502,24,7,18,1
68298,17971,764,48,11,25,0
43994,16250,662,60,18,36,0
68451,25345,726,24,12,38,0
17765,34104,460,36,12,18,1
40133,43841,516,12,19,20,1
63257,10581,764,36,7,29,0
19497,36186,456,12,0,20,1
56842,13527,738,48,18,38,0
50139,18783,713,60,11,24,0
58502,9824,746,36,15,49,0
55231,20325,736,36,8,36,0
56227,8236,656,24,15,28,0
71283,24549,640,60,7,40,0
63873,9050,679,24,17,48,0
29178,43389,514,60,9,31,1
45403,13906,714,12,16,29,0
52601,21024,701,24,8,21,0
56384,28523,638,48,2,22,0
62891,8697,707,24,10,45,0
34027,44596,524,24,11,22,1
43726,11640,763,60,17,22,0
71456,15170,773,12,6,34,0
64648,15166,664,48,11,37,0
57190,19057,658,12,19,41,0
10000,39328,553,24,3,23,1
37117,42291,472,48,4,18,1
51470,14318,728,24,12,27,0
60507,19219,727,12,18,39,0
19744,26821,573,12,10,18,1
11676,38153,430,12,10,18,1
73446,7938,689,48,6,27,0
53261,17104,683,36,2,35,0
61801,12470,664,12,14,33,0
12728,43396,408,24,7,27,1
23078,38208,549,12,12,18,1
56190,10044,682,60,4,27,0
51753,22340,690,36,2,30,0
57650,16952,692,36,4,35,0
28696,35651,602,48,1,29,1
65440,6023,662,36,13,42,0
13507,27352,501,48,19,40,1
52968,11461,689,48,16,32,0
49097,14256,792,12,13,42,0
23241,38944,556,48,17,18,1
15798,43477,559,24,18,35,1
80385,8796,729,12,5,36,0
10184,36287,454,60,4,28,1
61161,13814,649,24,15,31,0
13960,40775,498,36,16,24,1
49491,12774,671,36,19,41,0
62616,27581,700,12,3,32,0
49326,8679,717,60,16,40,0
46947,15951,719,36,8,26,0
38767,48213,460,60,7,29,1
18328,35390,569,12,14,18,1
20480,46194,603,24,19,20,1
56643,15785,679,36,14,44,0
56064,16114,734,48,2,42,0
59508,15676,710,60,14,42,0
57792,13303,674,24,9,22,0
66642,16642,684,24,19,45,0
49537,10192,686,12,9,22,0
28128,45380,442,48,14,18,1
58146,15538,695,24,9,20,0
64491,11483,628,48,17,33,0
55267,6424,719,60,19,26,0
56962,16536,586,36,9,26,0
50964,12473,771,24,5,28,0
25583,43147,549,24,15,18,1
60581,18404,696,36,0,34,0
72027,10504,710,24,7,30,0
69239,9199,578,48,3,26,0
24933,44434,505,12,17,18,1
33173,42409,501,48,8,18,1
59275,13913,636,60,16,33,0
59069,11750,608,24,11,38,0
66536,26100,721,12,4,31,0
65324,16494,717,36,19,28,0
19374,37305,451,36,11,34,1
44542,20056,666,24,5,44,0
28723,37189,486,48,3,38,1
61715,19468,691,12,18,28,0
62552,22334,759,24,2,38,0
20283,43252,450,12,17,37,1
41898,31582,525,12,2,23,1
29817,40859,467,60,17,24,1
47415,12390,736,12,6,27,0
83830,17023,685,48,18,39,0
48931,4896,677,60,18,54,0
73887,2085,696,24,0,34,0
56458,16393,647,60,10,34,0
60764,16260,714,36,7,18,0
85316,16047,727,36,13,28,0
51825,17041,737,24,15,20,0
22244,33771,498,36,4,29,1
73431,14366,613,24,0,24,0
29495,41083,467,36,14,29,1
60599,21072,684,24,0,38,0
42202,16444,728,48,6,24,0
54028,25361,709,24,14,32,0
28271,38388,462,12,18,27,1
49867,11980,744,48,2,28,0
66488,12168,718,48,5,31,0
12801,42343,397,24,13,23,1
65220,20279,677,48,1,27,0
48539,18583,660,48,12,35,0
15062,34440,505,48,19,18,1
52086,20024,730,12,17,41,0
44853,15986,656,12,3,39,0
66575,20686,626,48,0,24,0
17513,36980,558,60,2,30,1
63978,17673,830,12,10,33,0
59560,13437,688,24,11,26,0
64646,17433,616,36,12,38,0
66967,16759,773,36,12,30,0
10000,43800,543,12,13,18,1
60624,12674,751,12,16,42,0
10000,42460,548,48,0,28,1
65149,6927,679,48,14,55,0
25947,42761,549,48,1,25,1
63946,13270,651,48,13,40,0
79615,16524,772,48,13,41,0
39503,15928,753,60,5,18,0
48721,9093,681,36,7,25,0
71268,13613,661,24,8,28,0
78580,14045,627,60,2,33,0
55404,14677,731,36,8,33,0
10000,39664,609,24,7,28,1
58944,17097,647,60,19,45,0
55761,12888,644,12,8,29,0
73469,10906,667,36,7,43,0
52610,13276,758,36,19,36,0
32625,50000,500,60,8,30,1
23772,39689,523,48,16,26,1
37495,47817,443,36,18,24,1
63310,15351,721,24,12,41,0
62914,11005,620,24,8,26,0
51749,20856,646,12,0,41,0
64204,18906,703,36,4,34,0
34753,48876,482,48,4,24,1
54107,11108,637,36,14,35,0
62208,16319,732,48,0,29,0
57034,6086,685,12,18,27,0
67269,16660,682,24,15,36,0
16363,50000,490,60,15,35,1
60754,25176,636,12,12,32,0
59831,10270,658,12,5,31,0
66565,9761,647,36,8,37,0
25470,32094,588,48,7,23,1
39830,17777,744,24,7,38,0
12322,38214,428,24,4,23,1
22240,45162,473,36,12,21,1
73391,11682,684,24,15,30,0
61205,10230,668,36,13,37,0
69891,9909,713,12,3,30,0
46502,16694,659,24,8,28,0
50881,14119,679,24,3,37,0
61238,11963,626,60,7,29,0
10000,49270,527,60,19,33,1
19295,39755,561,24,12,18,1
57672,12763,750,24,12,22,0
73025,14683,784,12,14,26,0
15146,43547,463,24,16,40,1
10000,40466,471,36,9,20,1
10000,45428,435,24,15,25,1
54371,17056,738,48,11,32,0
50668,22581,629,24,18,49,0
43278,11803,811,24,9,28,0
69201,18538,698,12,10,28,0
64277,25706,716,48,7,40,0
58864,17773,783,24,4,40,0
53433,13739,743,48,9,32,0
61352,14041,638,48,4,37,0
20961,38080,439,12,6,23,1
63067,15518,683,12,4,27,0
74654,6169,758,36,9,29,0
50743,20928,643,12,15,22,0
77402,18825,682,60,12,53,0
