incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Minor Damage,skydiving,13590,1002,65,lawyer,husband,0,Side Collision,Multi-vehicle Collision,0
Total Loss,chess,13969,421,58,manager,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,board games,9650,1073,56,manager,wife,1200000,Side Collision,Parked Car,1
Total Loss,skydiving,18350,1116,29,doctor,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,20942,1134,31,engineer,husband,600000,Front Collision,Single Vehicle Collision,1
Total Loss,biking,15580,1059,43,teacher,unmarried,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,23734,722,64,lawyer,other-relative,1200000,Front Collision,Parked Car,0
Total Loss,board games,21267,1426,49,doctor,husband,0,Side Collision,Parked Car,1
Major Damage,skydiving,14274,1213,20,teacher,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,19402,625,37,engineer,own-child,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,chess,11819,1116,19,doctor,other-relative,600000,Side Collision,Parked Car,0
Major Damage,cross-fit,20810,1428,25,lawyer,own-child,1200000,Rear Collision,Parked Car,0
Major Damage,chess,22213,767,22,doctor,unmarried,600000,Side Collision,Parked Car,1
Major Damage,chess,12520,1288,22,manager,husband,0,Front Collision,Single Vehicle Collision,0
Major Damage,chess,23613,710,50,teacher,husband,1200000,Side Collision,Parked Car,0
Major Damage,cross-fit,16149,901,46,manager,wife,1200000,Rear Collision,Parked Car,1
Total Loss,reading,14836,820,66,lawyer,husband,0,Side Collision,Parked Car,0
Major Damage,cross-fit,8827,814,54,engineer,wife,600000,Side Collision,Parked Car,1
Minor Damage,reading,20587,1116,27,teacher,husband,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,15792,1457,67,lawyer,other-relative,600000,Front Collision,Parked Car,0
Trivial Damage,chess,21982,927,43,engineer,own-child,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,biking,14434,1127,68,engineer,other-relative,0,Front Collision,Parked Car,0
Minor Damage,reading,23979,743,27,doctor,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,11239,1110,34,teacher,other-relative,600000,Side Collision,Parked Car,0
Minor Damage,biking,17704,592,20,lawyer,other-relative,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,15395,1001,52,lawyer,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,chess,9317,1766,33,engineer,wife,0,Side Collision,Parked Car,0
Minor Damage,skydiving,19269,675,61,doctor,wife,0,Side Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,15762,1037,40,engineer,unmarried,1200000,Rear Collision,Parked Car,1
Major Damage,cross-fit,18224,1192,50,doctor,unmarried,1200000,Front Collision,Single Vehicle Collision,1
Trivial Damage,cross-fit,8403,889,18,manager,wife,0,Rear Collision,Parked Car,0
Major Damage,reading,16409,801,53,engineer,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,reading,20469,929,64,engineer,own-child,0,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,10991,1082,63,doctor,own-child,0,Side Collision,Single Vehicle Collision,0
Minor Damage,biking,22546,895,54,lawyer,other-relative,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,board games,19496,1302,23,lawyer,other-relative,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,reading,13828,1289,38,lawyer,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,biking,10456,808,40,engineer,own-child,0,Rear Collision,Parked Car,0
Trivial Damage,chess,23896,666,54,lawyer,wife,0,Front Collision,Single Vehicle Collision,0
Minor Damage,chess,20757,977,49,engineer,other-relative,600000,Side Collision,Parked Car,1
Total Loss,board games,15611,586,18,doctor,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,skydiving,12897,821,23,engineer,husband,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,biking,19829,1139,46,teacher,other-relative,0,Side Collision,Multi-vehicle Collision,0
Major Damage,chess,16742,1008,46,lawyer,husband,1200000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,biking,20941,789,59,engineer,wife,600000,Front Collision,Parked Car,0
Major Damage,skydiving,19310,935,50,lawyer,husband,1200000,Front Collision,Parked Car,1
Major Damage,skydiving,17879,1142,36,engineer,own-child,600000,Front Collision,Parked Car,0
Minor Damage,chess,18309,1034,25,engineer,own-child,0,Side Collision,Parked Car,0
Trivial Damage,cross-fit,16033,1141,64,engineer,husband,0,Side Collision,Parked Car,0
Trivial Damage,chess,18477,975,29,engineer,wife,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,20074,1034,58,engineer,unmarried,600000,Side Collision,Parked Car,1
Major Damage,board games,16106,640,68,teacher,wife,0,Front Collision,Parked Car,0
Trivial Damage,skydiving,21608,587,66,doctor,wife,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,board games,17691,1025,38,manager,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,14078,846,19,teacher,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,14548,917,20,engineer,other-relative,1200000,Rear Collision,Parked Car,0
Total Loss,chess,26200,1129,21,doctor,own-child,1200000,Rear Collision,Multi-vehicle Collision,1
Major Damage,chess,14373,935,61,lawyer,other-relative,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,skydiving,21813,553,21,engineer,wife,0,Side Collision,Parked Car,0
Major Damage,cross-fit,24184,888,45,lawyer,wife,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,reading,19847,1296,23,manager,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,reading,23294,1379,25,engineer,husband,600000,Side Collision,Parked Car,1
Major Damage,chess,17766,713,49,doctor,other-relative,0,Rear Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,9332,968,41,teacher,husband,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,chess,19808,748,23,doctor,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,11004,589,62,engineer,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,reading,12831,1493,37,teacher,unmarried,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,biking,15393,1475,64,teacher,unmarried,600000,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,4546,523,51,doctor,other-relative,0,Side Collision,Multi-vehicle Collision,1
Total Loss,chess,20420,1469,25,lawyer,other-relative,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,9461,681,49,manager,husband,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,19866,1423,26,engineer,own-child,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,reading,16770,456,48,lawyer,husband,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,5797,1253,26,teacher,husband,0,Side Collision,Parked Car,0
Trivial Damage,reading,10960,1110,68,teacher,wife,1200000,Front Collision,Parked Car,0
Total Loss,board games,19707,1000,40,teacher,unmarried,0,Rear Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,21201,656,38,lawyer,other-relative,1200000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,chess,26911,756,58,doctor,wife,600000,Front Collision,Single Vehicle Collision,0
Major Damage,chess,16622,830,34,manager,wife,0,Front Collision,Parked Car,1
Minor Damage,chess,18800,1240,57,manager,husband,600000,Side Collision,Parked Car,0
Minor Damage,reading,13509,1394,42,doctor,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,15949,1001,20,doctor,unmarried,0,Side Collision,Parked Car,0
Total Loss,chess,21382,805,64,manager,own-child,0,Side Collision,Parked Car,1
Trivial Damage,cross-fit,16048,866,48,lawyer,own-child,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,23145,606,55,teacher,husband,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,18475,727,18,doctor,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,biking,17570,949,35,engineer,unmarried,600000,Front Collision,Single Vehicle Collision,0
Major Damage,chess,13350,824,23,lawyer,wife,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,16304,1226,31,teacher,wife,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,14409,1376,21,lawyer,husband,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,board games,13321,331,26,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,biking,17522,1112,51,teacher,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,20902,1064,61,engineer,husband,0,Front Collision,Parked Car,1
Trivial Damage,skydiving,17712,1185,43,engineer,own-child,1200000,Front Collision,Parked Car,0
Trivial Damage,skydiving,18363,1368,36,engineer,husband,0,Side Collision,Single Vehicle Collision,0
Minor Damage,chess,24104,1332,64,lawyer,other-relative,0,Side Collision,Parked Car,0
Major Damage,reading,10247,1075,29,teacher,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,biking,24539,1373,35,doctor,other-relative,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,11794,897,18,teacher,other-relative,1200000,Rear Collision,Parked Car,0
Total Loss,cross-fit,21519,1221,29,teacher,husband,1200000,Side Collision,Parked Car,1
Major Damage,skydiving,18637,1095,33,engineer,husband,600000,Rear Collision,Parked Car,1
Total Loss,reading,22224,1152,59,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,board games,7112,1029,32,engineer,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,17278,750,31,teacher,own-child,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,chess,13798,996,28,doctor,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,skydiving,17797,1170,38,lawyer,husband,1200000,Rear Collision,Parked Car,0
Minor Damage,skydiving,16855,1033,59,teacher,wife,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,reading,9323,1203,64,manager,unmarried,0,Side Collision,Parked Car,0
Major Damage,reading,13636,871,23,doctor,unmarried,1200000,Rear Collision,Parked Car,0
Major Damage,biking,13268,923,62,teacher,other-relative,600000,Front Collision,Parked Car,1
Major Damage,board games,10618,718,40,engineer,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,biking,13349,1193,26,doctor,own-child,600000,Front Collision,Parked Car,0
Total Loss,cross-fit,14707,1574,54,teacher,husband,0,Front Collision,Parked Car,1
Minor Damage,reading,13620,678,26,manager,husband,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,chess,13857,919,49,engineer,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,18721,1020,33,lawyer,own-child,600000,Side Collision,Single Vehicle Collision,0
Major Damage,cross-fit,9039,665,30,teacher,wife,600000,Side Collision,Multi-vehicle Collision,1
Total Loss,board games,8428,1198,58,engineer,husband,600000,Side Collision,Parked Car,0
Minor Damage,reading,9082,1286,36,manager,own-child,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,16893,692,38,doctor,husband,1200000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,15380,1221,35,teacher,own-child,0,Front Collision,Parked Car,1
Trivial Damage,chess,10593,969,53,doctor,husband,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,12980,1408,33,engineer,husband,0,Front Collision,Parked Car,0
Minor Damage,biking,19883,972,44,manager,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,19273,833,69,engineer,own-child,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,19051,807,19,manager,wife,0,Front Collision,Single Vehicle Collision,0
Minor Damage,reading,15995,793,20,engineer,husband,1200000,Front Collision,Parked Car,0
Trivial Damage,reading,19861,764,21,doctor,husband,0,Front Collision,Single Vehicle Collision,0
Major Damage,biking,10750,882,34,manager,own-child,0,Side Collision,Parked Car,0
Minor Damage,board games,20653,716,19,doctor,husband,1200000,Front Collision,Single Vehicle Collision,0
Minor Damage,board games,9925,1186,59,doctor,husband,0,Side Collision,Single Vehicle Collision,0
Minor Damage,chess,5850,1387,40,teacher,own-child,1200000,Front Collision,Parked Car,0
Total Loss,chess,21440,1156,53,teacher,unmarried,0,Front Collision,Parked Car,1
Trivial Damage,biking,16447,1207,58,manager,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,9556,942,68,doctor,own-child,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,board games,15473,1232,58,doctor,husband,0,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,9135,1192,54,engineer,own-child,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,17821,852,31,doctor,other-relative,0,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,24999,1075,33,doctor,unmarried,1200000,Side Collision,Single Vehicle Collision,1
Major Damage,skydiving,9987,1151,38,manager,husband,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,25610,686,42,engineer,other-relative,600000,Side Collision,Single Vehicle Collision,1
Major Damage,reading,6903,765,63,engineer,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Total Loss,reading,6576,930,29,engineer,own-child,0,Rear Collision,Parked Car,0
Total Loss,cross-fit,16987,844,69,manager,own-child,600000,Front Collision,Parked Car,1
Minor Damage,reading,17674,1199,34,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,16549,543,58,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,15314,1059,66,teacher,wife,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,19048,1096,50,doctor,wife,1200000,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,15282,1175,37,engineer,other-relative,0,Rear Collision,Parked Car,0
Minor Damage,skydiving,20999,864,25,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,1
Minor Damage,board games,11957,1551,38,manager,unmarried,600000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,21261,1188,50,doctor,own-child,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,16765,671,53,manager,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,biking,15915,995,41,engineer,other-relative,600000,Side Collision,Parked Car,1
Major Damage,chess,14145,558,50,engineer,own-child,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,reading,14609,966,40,engineer,own-child,600000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,16938,1075,51,engineer,other-relative,600000,Front Collision,Parked Car,0
Minor Damage,chess,14830,1381,32,manager,wife,0,Front Collision,Parked Car,0
Minor Damage,chess,12406,553,42,doctor,other-relative,1200000,Rear Collision,Parked Car,0
Trivial Damage,board games,14429,712,39,engineer,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,skydiving,19030,1028,52,manager,unmarried,0,Front Collision,Parked Car,1
Major Damage,reading,12279,1036,35,lawyer,unmarried,600000,Front Collision,Single Vehicle Collision,1
Trivial Damage,reading,14747,1165,40,engineer,unmarried,600000,Rear Collision,Parked Car,0
Major Damage,biking,15882,1105,42,lawyer,own-child,600000,Side Collision,Parked Car,1
Trivial Damage,skydiving,8635,1522,64,lawyer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,22202,710,34,engineer,husband,0,Front Collision,Parked Car,1
Minor Damage,cross-fit,8924,1289,23,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,12099,818,55,lawyer,husband,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,12897,1026,52,teacher,unmarried,0,Rear Collision,Parked Car,0
Trivial Damage,reading,12749,1106,24,engineer,own-child,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,17160,1510,24,lawyer,own-child,600000,Front Collision,Parked Car,0
Total Loss,board games,23798,712,24,teacher,wife,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,board games,17164,765,37,lawyer,husband,1200000,Side Collision,Parked Car,0
Major Damage,board games,25394,436,47,teacher,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,17178,257,44,doctor,unmarried,0,Front Collision,Parked Car,0
Major Damage,chess,9943,424,60,engineer,unmarried,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,15686,655,23,lawyer,husband,0,Side Collision,Parked Car,0
Major Damage,biking,15370,986,46,teacher,wife,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,11855,1283,27,lawyer,wife,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,14379,1030,62,manager,other-relative,600000,Rear Collision,Parked Car,0
Total Loss,cross-fit,22763,1393,41,manager,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,16788,761,51,lawyer,wife,0,Front Collision,Single Vehicle Collision,0
Total Loss,board games,22090,744,25,teacher,other-relative,0,Rear Collision,Parked Car,0
Minor Damage,reading,19979,815,46,lawyer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,reading,16334,853,47,engineer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,14074,1437,26,manager,wife,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,14824,654,64,lawyer,husband,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,16326,1672,65,teacher,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,18836,908,47,engineer,wife,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,19117,736,19,manager,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,skydiving,21458,1056,47,doctor,wife,1200000,Side Collision,Single Vehicle Collision,1
Major Damage,biking,13883,967,53,teacher,other-relative,0,Side Collision,Parked Car,1
Major Damage,board games,19343,1328,18,lawyer,unmarried,600000,Front Collision,Parked Car,0
Trivial Damage,cross-fit,14945,889,60,manager,husband,1200000,Front Collision,Parked Car,1
Minor Damage,board games,20728,255,25,lawyer,other-relative,0,Side Collision,Parked Car,0
Minor Damage,biking,23570,765,27,teacher,own-child,0,Front Collision,Single Vehicle Collision,0
Minor Damage,board games,8667,1280,41,manager,wife,600000,Front Collision,Parked Car,0
Total Loss,cross-fit,19241,362,51,teacher,own-child,600000,Rear Collision,Parked Car,1
Major Damage,cross-fit,5599,968,69,engineer,other-relative,0,Front Collision,Parked Car,0
Trivial Damage,chess,14084,1237,54,engineer,husband,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,16807,1079,43,doctor,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,18317,1129,44,lawyer,wife,1200000,Side Collision,Parked Car,0
Total Loss,cross-fit,16320,1505,29,engineer,husband,600000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,board games,14037,1163,43,doctor,husband,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,14159,1012,45,manager,wife,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,10254,922,67,lawyer,own-child,0,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,9552,1136,31,manager,own-child,0,Rear Collision,Parked Car,0
Trivial Damage,biking,10875,1378,28,engineer,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,board games,18385,887,56,engineer,own-child,1200000,Side Collision,Parked Car,0
Minor Damage,skydiving,20828,697,67,teacher,own-child,600000,Rear Collision,Single Vehicle Collision,1
Total Loss,skydiving,19209,1478,25,lawyer,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,cross-fit,16914,599,46,manager,husband,600000,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,9788,909,50,doctor,wife,0,Front Collision,Parked Car,0
Trivial Damage,biking,18748,1109,24,engineer,husband,0,Side Collision,Parked Car,0
Major Damage,chess,17948,1011,50,manager,husband,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,biking,7417,745,62,manager,wife,0,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,9041,917,46,manager,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,18185,1054,55,manager,husband,0,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,9666,1092,60,engineer,unmarried,1200000,Rear Collision,Parked Car,0
Major Damage,board games,15507,418,46,doctor,own-child,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,biking,11418,967,29,engineer,own-child,0,Rear Collision,Parked Car,1
Major Damage,board games,30110,1529,36,manager,other-relative,0,Front Collision,Parked Car,1
Trivial Damage,cross-fit,13749,1362,52,teacher,own-child,0,Side Collision,Parked Car,0
Major Damage,board games,15281,1562,42,manager,husband,0,Front Collision,Single Vehicle Collision,0
Minor Damage,reading,22498,1302,56,engineer,unmarried,600000,Front Collision,Parked Car,1
Major Damage,biking,14473,1017,50,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,1
Minor Damage,board games,14038,902,63,engineer,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,chess,21918,1070,34,teacher,wife,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,15641,634,62,teacher,husband,600000,Front Collision,Parked Car,0
Trivial Damage,biking,8826,1499,59,doctor,wife,0,Rear Collision,Parked Car,0
Total Loss,skydiving,10504,1821,39,lawyer,own-child,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,biking,17333,1848,20,manager,wife,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,14842,1102,62,manager,wife,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,13069,1165,54,teacher,husband,0,Side Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,13741,1288,24,lawyer,unmarried,0,Rear Collision,Parked Car,0
Trivial Damage,skydiving,12505,1060,58,engineer,own-child,0,Side Collision,Single Vehicle Collision,0
Total Loss,board games,9040,853,27,engineer,husband,600000,Front Collision,Parked Car,0
Minor Damage,board games,13319,1135,43,lawyer,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,biking,17965,697,43,lawyer,unmarried,0,Rear Collision,Parked Car,0
Minor Damage,cross-fit,9718,1363,31,doctor,wife,600000,Rear Collision,Multi-vehicle Collision,1
Total Loss,reading,19927,798,35,teacher,wife,0,Front Collision,Parked Car,1
Minor Damage,skydiving,13121,916,65,engineer,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,board games,20729,1378,61,engineer,unmarried,0,Front Collision,Single Vehicle Collision,0
Minor Damage,board games,15635,1372,57,lawyer,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,chess,12143,1066,30,lawyer,unmarried,1200000,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,25078,1279,63,lawyer,wife,0,Side Collision,Parked Car,0
Total Loss,reading,13511,1187,38,manager,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,reading,12997,643,50,manager,other-relative,0,Front Collision,Parked Car,1
Total Loss,cross-fit,13374,1090,33,manager,own-child,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,reading,9175,1365,36,teacher,other-relative,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,12893,1153,65,doctor,unmarried,0,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,10011,772,50,doctor,other-relative,1200000,Side Collision,Parked Car,0
Total Loss,skydiving,21607,1022,49,teacher,husband,600000,Front Collision,Parked Car,1
Major Damage,cross-fit,21351,1503,24,engineer,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,20674,623,18,doctor,wife,600000,Side Collision,Parked Car,1
Minor Damage,biking,15885,1487,33,doctor,other-relative,1200000,Front Collision,Single Vehicle Collision,0
